x, y
1.6300277913740626, 808.259509280788
1.607250668179966, 994.0313533848666
1.492472024757795, 1118.1129734787655
1.8116602805466275, 756.0502904139753
1.9224120249416936, 685.7030492995921
1.8560364830034757, 999.0133464478486
2.005177752449229, 952.7812974797046
2.1111752386564047, 845.0266759088894
1.8421589417766004, 1736.4511250246005
2.1191123797143065, 1043.4272553593942
2.239616297448748, 916.9437426928764
2.4373396914931007, 856.5677525703107
2.416486686085345, 1087.389184313435
2.5249344286043796, 997.8370019547527
2.6336405915813836, 1518.5916858984247
2.8507310625167532, 1549.1174961564939
3.16210910562088, 1558.7665639221261
3.2975444389585093, 1327.9808519732392
3.528500361070543, 1215.8626705986094
3.0508480306111405, 1248.3864687071318
3.085255753589666, 1118.9678043901574
2.9442549611746145, 1038.9182748695812
3.284283027366418, 1020.4587736185736
3.466976705481684, 1661.2682815339722
3.83371312781299, 1581.2132967239359
3.717955442884339, 2357.8016126611465
4.297669557242774, 1976.2294499049028
4.612125396070507, 1515.451738841538
4.625913022933441, 2451.357888016898
5.720733726830229, 2159.3569382620735
5.770961884555808, 3551.920879179357
5.923802672941799, 3051.872950719051
6.05623724544342, 2786.214325284951
6.420034856292398, 2906.1938188888535
6.975958214672197, 2659.645021010745
6.950274295366212, 3502.501830269456
7.889860213203763, 3667.663087122926
9.350637969359795, 3255.2526771589287
9.843880893453683, 3545.8184741226305
7.990930297640783, 5509.706625082699
10.167262519622218, 5152.988694109122
10.438317249858086, 5798.98831228312
10.227705880594524, 4320.986474883245
11.301636874040284, 4604.686956811013
12.528069711045639, 5644.313385440784
13.14400509813606, 4789.380622995656
13.554396600120675, 6121.950026288936
13.903887857923205, 5402.168292383614
14.596175788812248, 4835.044748599671
13.366989677318353, 7746.198933651528
15.173384302695222, 7534.786388245689
15.5971760556671, 9032.075957648834
17.37771187375928, 6165.576976563749
17.073254374835418, 4850.465639896728
19.78086124422931, 8680.729358060535
19.863697616891308, 9949.814026394999
20.19120676012129, 14192.328596218782
23.01530635000571, 11635.530751934046
24.4869487851091, 10522.024161013143
22.548528214907012, 9346.610140302633
22.708223323194154, 7751.627445446351
25.017846237985808, 7961.261395999309
27.44392503575748, 7404.915750543344
26.301614410636425, 10941.622612124349
26.964257287004102, 13691.598517567372
29.26293516515567, 11938.409743634169
29.36418520205151, 9632.141632828443
34.871414068084285, 9442.337483955242
30.462980807996082, 13338.293291695016
30.890734357010874, 15687.754341099311
32.969117306487114, 17627.471257587247
34.10886454641415, 15303.39258465205
37.74263879081733, 12683.007158854722
41.56543679751248, 14607.7405003746
37.09483077069543, 17486.585675455954
43.69926133831762, 17564.156541741577
45.23694937162985, 15483.777389080196
43.37437253639811, 22610.378952931023
62.288396151807405, 41765.065374251826
61.42586947282191, 31482.114316618245
71.52625464360563, 35455.92660575938
86.61801414160334, 43520.56348203056
89.71947171633934, 36688.31176058238
102.6550116195452, 37442.486325365964
135.8043123497031, 45230.14898190769
122.14463395027097, 29906.871591657047
138.1081966843747, 26430.97135657835
