S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
1.0,10.8635,0.097706888,0
1.22,2.77596,0.041326762,0
0.99,10.33852,0.09821502,0
0.99,5584.0,6.02588,0
0.77,5.508023,0.056097215,0
0.84,4.008778,0.046704594,0
1.33,5.6335158,0.077253583,0
0.76,2.875317,0.036104061,0
1.24,4.12448,0.055492469,0
1.13,3.21222,0.04437715,0
0.58,1.21288,0.018670258,0
1.37,3.35524,0.048823419,0
1.01,3.6528151,0.046612326,0
1.12,4.23452,0.053567421,0
0.94,3.039577,0.04,0
1.02,3.257215,0.043456442,0
1.45,5.72319,0.07114532,0
1.06,2.8997,0.040567684,0
1.55,2.8106,0.045133614,0
1.31,5.00542,0.064603736,0
1.13,2.1500082,0.034399398,0
1.82,3.47447,0.054801493,0
4.26,5.45265,0.10777349,0
1.03,1.3273468,0.0241,0
0.93,2.797436,0.037963748,0
0.89,4.640382,0.052417387,0
1.4,3.54387,0.0509,0
1.03,4.45724,0.05351793,0
2.56,2.69405,0.051823488,0
1.18,4.641878,0.0575,0
1.05,3.332687,0.0443,0
0.94,4.301219,0.050749078,0
0.94,872.2,1.9657755,0
1.26,3.128992,0.045254263,0
1.28,4.463129,0.058136472,0
2.22,2.69155,0.049388842,0
1.04,2.78849,0.039273541,0
1.27,3.1220109,0.045599546,0
0.98,4.2180278,0.051073445,0
0.89,2.7535953,0.0369808,0
1.09,1.9616241,0.031873615,0
0.65,3.799847,0.041282723,0
1.01,3.5852467,0.046484769,0
1.42,2.79083,0.04359412,0
2.77,2.4653,0.050147504,0
1.79,3.85298,0.058388197,0
1.21,2.6054552,0.041335678,0
1.25,2.972086,0.043806702,0
1.64,4.8101025,0.06505,0
1.65,4.7869491,0.06555,0
1.56,2.20474,0.038440527,0
1.89,2.7443245,0.04739,0
1.27,3.07634,0.044819501,0
1.28,3.9228107,0.053056525,0
0.99,3.446459,0.04471968,0
1.1,3.312846,0.050546227,0
1.33,3.619188,0.0507,0
1.16,3.142702,0.0441,0
0.96,3.0440499,0.041234557,0
0.97,2.7667641,0.038534628,0
0.87,1.7474875,0.027335279,0
0.97,2.686502,0.03744,0
1.13,16.254611,0.130855,0
1.04,0.83784,0.0174,0
0.88,1.354133,0.023,0
0.76,4.7228124,0.050406805,0
1.12,2.1605156,0.034190737,0
1.07,1.3484978,0.0238,0
0.99,4.2986432,0.052429645,0
1.3,3.3023881,0.048771092,0
1.42,4.637038,0.071412489,0
0.93,3.1810781,0.042152807,0
1.03,4.6058749,0.05543339,0
1.21,3.547851,0.0485,0
1.09,3.1743516,0.043740632,0
1.27,3.37796,0.049097507,0
1.1,2.8126548,0.044703441,0
1.06,2.5495551,0.037389264,0
0.95,2.1061607,0.031844641,0
1.32,1.8209993,0.033487708,0
1.1,4.175186,0.0523,0
1.38,4.5776348,0.062341397,0
1.0,2.516729,0.036203059,0
1.56,3.2642736,0.05240214,0
1.5,4.193649,0.06250926,0
1.27,2.292102,0.037857274,0
0.84,4.3888497,0.050179845,0
0.86,2.7439004,0.037910209,0
1.27,4.1876244,0.056697168,0
0.92,4.7423729,0.062055428,0
0.94,4.763387,0.054209783,0
1.17,3.8297015,0.057177639,0
1.19,3.3488702,0.048915936,0
1.11,1.3666544,0.025735845,0
0.96,3.8537768,0.050118009,0
1.1,2.5441828,0.037928707,0
1.2,4.2042001,0.054349036,0
1.57,4.324799,0.060440908,0
1.03,2.350621,0.034943693,0
1.46,4.2180896,0.058798214,0
1.04,5.416081,0.061628549,0
1.04,1422.0,2.512625,0
0.57,3.3252725,0.03623,0
1.1,3.560829,0.047938763,0
1.08,7.817953,0.079414667,0
0.9,3.2768837,0.043478455,0
0.93,3.0566527,0.040632324,0
1.56,4.908897,0.066368101,0
1.26,3.105161,0.045056432,0
1.41,3.1414391,0.047236543,0
1.44,1.6091788,0.030369255,0
1.35,3.5862202,0.05074286,0
0.89,2.2252577,0.036434591,0
0.85,3.185315,0.040699734,0
1.78,1.8882378,0.036908384,0
1.06,3.583893,0.049969009,0
1.1,1.915291,0.0312,0
2.28,157.57001,0.682754,0
0.83,383.70001,1.096744,0
1.06,5.75969,0.064290848,0
1.06,16.357,0.12969337,0
1.06,49.748,0.270251,0
1.06,122.744,0.49638998,0
1.06,604.67,1.4763521,0
1.06,2205.0,3.3962568,0
0.57,70.46,0.301815,0
1.06,20.8133,0.15108,0
0.76,4.11377,0.05,0
1.45,127.58,0.5106375,0
3.21,778.09998,1.8499105,0
3.21,1123.0,3.1865023,0
0.85,122.1,0.486588,0
0.95,3090.942,4.0986477,0
1.66,6.4947,0.080755239,0
0.8,47.84,0.25,0
0.79,4.5557,0.04998416,0
1.33,5.8881,0.0702835,0
0.77,120.878,0.44692395,0
0.62,55.806,0.26,0
